IndustryCode,DataYear,Gamma,NPlants
2065,1972,0.03549570461535683,912.9194723251958
2066,1972,0.28488709405430984,65.46528389378288
2067,1972,-0.16372869230310375,408.53260686779004
2074,1972,0.0959599644190888,107.48891364560737
2075,1972,0.018651739599132747,79.57708373529874
2076,1972,-0.02382203850385889,16.527785391882755
2077,1972,0.003170391587114232,478.90923377738795
2079,1972,0.009520556968014736,108.27684891630125
2082,1972,-0.011278682645947743,139.60565675920458
2083,1972,0.05440608811537699,53.738135048986976
2084,1972,0.3413351232081805,174.7286554228603
2085,1972,0.014385083443158099,100.07291808110749
2086,1972,0.004160651006877016,2502.823878923858
2087,1972,0.0331082672111149,375.9437079923895
2091,1972,0.0865537959625243,320.5157366310709
2092,1972,0.046143557664928635,486.9487064819854
2095,1972,0.05917669762478111,211.8344194409103
2097,1972,0.016349877356246035,739.8024074494664
